"","Q1...Answer....hs.al.sk....Ukrainaa.on.tuettava.sodassa.ja.jälleenrakennuksessa.kustannuksista.huolimatta.","Q2...Answer....hs....Suomen.on.käytettävä.puolustukseen.rahaa.vähintään.Naton.tavoitteen.verran.","Q3...Answer....hs....Peruskoulussa.pitää.rajoittaa.lailla.oppilaiden.määrää.yhtä.opettajaa.kohden..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q4...Answer....hs.al.sk....Suomeen.on.perustettava.huumeiden.käyttöhuoneita.","Q5...Answer....hs....Valtion.on.annettava.suunniteltua.enemmän.rahaa.sosiaali..ja.terveydenhuoltoon..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q6...Answer....hs.al.sk....Nuorisorikollisuutta.on.pyrittävä.kitkemään.ensisijaisesti.muilla.keinoilla.kuin.rangaistuksia.koventamalla.","Q7...Answer....hs.al.sk....Työttömiä.pitää.saada.nykyistä.enemmän.töihin.heikentämällä.ansiosidonnaista.työttömyysturvaa.","Q8...Answer....hs.al.sk....Suomeen.on.houkuteltava.aktiivisemmin.ulkomaisia.työntekijöitä.","Q9...Answer....hs.al.sk....Valtion.velkaantumista.tulee.hillitä..vaikka.se.merkitsisi.leikkauksia.etuuksiin.tai.palveluihin.","Q10...Answer....hs....Palkkojen.verotusta.pitää.alentaa..vaikka.se.johtaisi.palveluiden.leikkauksiin..muun.verotuksen.kiristämiseen.tai.velan.kasvuun.","Q11...Answer....hs....Valtion.pitää.tukea.enemmän.kansalaisia..jotka.kärsivät.energian.hinnan.noususta..vaikka.se.kiihdyttäisi.inflaatiota.tai.heikentäisi.valtion.taloutta.","Q12...Answer....hs.al.sk....Hakkuita.pitää.vähentää.valtion.metsissä.luontokadon.ja.ilmastonmuutoksen.torjumiseksi.","Q13...Answer....hs.al.sk....Suomen.on.lykättävä.hiilineutraaliustavoitettaan.kauemmaksi.vuodesta.2035.","Q14...Answer....hs....Helsingissä.ja.muissa.suurissa.kaupungeissa.on.otettava.käyttöön.ruuhkamaksu.","Q15...Answer....hs.al.sk....Turkistarhaus.on.kiellettävä.Suomessa.","Q16...Answer....hs.al.sk....Jos.on.pakko.valita..on.parempi.korottaa.veroja.kuin.leikata.julkisia.palveluita.ja.sosiaalietuuksia","Q17...Answer....hs.al.sk....Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Q18...Answer....hs....Valtion.pitäisi.puuttua.nykyistä.voimakkaammin.markkinoiden.toimintaan..jotta.talous.olisi.kaikille.reilu..","Q19...Answer....hs.al.sk....Suomessa.on.liian.helppo.elää.sosiaaliturvan.varassa.","Q20...Answer....hs.al.sk....Valtion.ja.kuntien.omistusta.yritystoiminnassa.tulisi.vähentää.","Q21...Answer....hs.al.sk....Suomen.muuttuminen.aiempaa.monikulttuurisemmaksi.ja.monimuotoisemmaksi.on.hyvä.asia.","Q22...Answer....hs.al.sk....Kristilliset.arvot.ovat.hyvä.pohja.poliittiselle.päätöksenteolle.","Q23...Answer....hs....Sukupuolen.moninaisuus.pitäisi.ottaa.huomioon.Suomessa.nykyistä.paremmin.","Q24...Answer....hs.al.sk....Selkeitä.rajoja.ja.kuria.tarvitaan.nykyistä.enemmän.lasten.kasvattamisessa.","Q25...Answer....hs.al.sk....Suomen.pitäisi.vähentää.omia.päästöjään.riippumatta.siitä..mitä.muut.maat.tekevät.","Q26...Answer....hs.al.sk....Poliitikkojen.on.asetettava.Suomen.ja.suomalaisten.etu.kaiken.muun.edelle.","Q27...Answer....hs.al.sk....Ympäristön.etu.tulisi.asettaa.talouskasvun.ja.työpaikkojen.luomisen.edelle..jos.ne.ovat.keskenään.ristiriidassa.","Q28...Answer....hs....Maamme.kaipaa.vahvoja.johtajia..jotka.pystyvät.tekemään.vaikeitakin.päätöksiä.välittämättä.liikaa.muiden.mielipiteistä.","Q29...Answer....hs....Koko.Suomi.tulee.pitää.asutettuna..vaikka.siitä.koituisi.kustannuksia.","Q30...Answer....hs.al.sk....Suomen.kaupungistuminen.on.hyvä.asia."
"1",1,1,5,1,5,2,1,1,1,5,5,1,5,1,1,4,4,2,2,1,1,5,1,5,1,5,1,2,5,2
"2",4,4,4,4,5,4,4,3,3,3,4,3,1,1,5,2,4,4,4,2,3,3,4,4,4,4,4,5,4,4
"3",5,4,4,4,5,4,2,5,2,1,4,5,2,4,4,4,1,4,2,2,4,2,2,4,4,2,4,4,5,3
"4",4,4,3,4,5,4,4,3,4,4,4,1,5,1,3,2,5,4,4,2,2,4,3,5,2,5,2,3,5,3
"5",5,5,5,4,4,4,4,4,4,4,4,4,2,3,5,2,2,2,4,4,4,2,4,4,4,4,4,4,2,4
"6",4,5,4,5,5,5,1,5,3,3,4,4,1,1,5,4,4,5,1,1,5,1,5,4,5,4,3,1,5,4
"7",4,5,5,5,4,5,2,5,2,4,4,5,1,4,5,4,2,3,2,3,5,2,5,3,5,2,5,4,3,3
"8",5,4,4,3,5,4,1,4,4,2,2,2,2,3,3,5,2,3,2,2,4,5,3,4,3,5,2,5,5,3
"9",4,5,4,2,4,4,2,3,4,2,4,2,4,2,3,4,2,4,3,2,2,5,1,4,4,4,3,3,4,2
"10",4,4,4,4,5,4,1,4,2,2,4,4,1,3,5,5,2,2,2,2,4,3,5,3,4,4,4,4,4,2
"11",3,2,3,3,4,2,2,4,1,4,4,4,5,1,3,3,5,2,3,2,2,3,3,4,1,5,1,4,3,2
"12",5,4,3,5,5,5,2,5,1,2,3,2,1,3,3,5,2,2,2,2,5,4,4,4,4,2,4,3,3,4
"13",5,5,2,1,2,4,4,5,4,2,2,2,4,2,3,4,2,2,4,2,4,4,3,4,4,5,2,4,5,4
"14",1,4,1,2,1,2,1,1,5,5,4,1,3,1,2,1,4,1,4,5,2,4,1,5,1,5,3,2,4,3
"15",2,4,4,1,2,1,5,2,4,4,4,1,5,1,2,1,4,1,4,4,2,4,2,5,1,5,2,4,5,2
"16",5,5,5,4,5,4,2,5,4,4,5,4,1,3,5,5,2,4,4,2,5,2,4,3,5,2,3,5,4,3
"17",4,3,4,5,4,5,1,5,1,2,4,4,1,5,5,5,1,4,1,1,5,1,5,2,5,1,4,1,2,3
"18",5,4,4,4,5,4,1,4,2,2,4,4,3,1,4,4,2,4,2,2,5,4,4,2,5,4,4,4,4,3
"19",5,NA,5,5,4,5,1,4,1,4,4,5,1,4,5,4,1,3,1,1,5,1,5,1,5,3,5,3,5,2
"20",4,5,4,1,5,2,2,3,5,3,2,4,4,4,2,4,2,2,3,2,2,5,2,5,2,5,4,5,5,2
"21",5,4,5,4,5,5,1,4,2,3,4,4,2,1,4,1,1,4,1,2,4,4,4,2,5,4,4,1,5,4
"22",5,5,5,5,5,5,1,5,1,2,5,5,1,5,5,5,2,5,1,2,5,3,5,3,5,2,5,2,4,4
"23",4,4,5,5,5,4,1,4,2,2,4,2,4,5,5,5,2,4,1,1,4,1,5,2,4,2,4,1,5,2
"24",4,5,2,2,4,4,4,2,5,2,2,2,4,2,1,2,4,2,4,4,3,4,3,4,4,4,2,4,4,2
"25",4,5,2,4,2,2,5,5,5,4,2,2,2,1,4,1,4,1,2,4,5,4,2,4,4,4,2,2,4,4
"26",2,2,2,4,4,4,1,2,2,4,4,4,2,2,5,2,1,4,2,2,4,1,4,2,4,2,4,2,2,2
"27",4,4,4,4,4,5,1,5,2,1,5,4,1,3,4,5,1,5,1,1,5,3,4,3,4,3,4,2,4,3
"28",5,5,4,4,4,5,1,5,2,2,4,4,1,1,2,4,1,2,1,2,5,1,5,2,5,2,4,1,2,4
"29",5,3,5,5,5,5,1,5,2,1,4,5,1,5,5,5,1,5,1,1,5,1,5,1,5,1,5,1,1,4
"30",4,5,4,3,4,4,5,4,4,1,5,3,4,3,5,2,5,3,5,3,3,4,3,5,4,5,4,4,4,3
"31",5,4,4,2,4,4,1,4,2,2,5,2,1,2,4,4,1,5,1,1,5,4,4,2,5,5,4,2,5,4
"32",4,4,4,1,4,1,2,1,4,4,4,1,5,1,3,2,4,2,4,3,1,3,1,4,1,5,1,4,4,2
"33",2,1,4,1,5,4,2,2,4,4,3,1,5,2,2,4,2,4,4,4,2,5,1,5,1,5,3,1,4,1
